,2h(-8),2h(-7),ma(-8),ma(-7),farn(-4),farn(-3),2h(-7)+ma(-7),2h(-7)+farn(-3),ma(-7)+farn(-3),PFO,experiment,2h(-7)+ma(-7)_predicted,2h(-7)+farn(-3)_predicted,ma(-7)+farn(-3)_predicted
287,False,True,False,True,False,False,True,False,False,False,20250219_3FLfun1,True,True,True
288,False,False,False,False,False,True,False,True,False,False,20250219_3FLfun1,False,True,True
289,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
290,False,False,False,False,False,True,False,False,False,False,20250219_3FLfun1,False,True,True
291,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
292,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
293,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
294,False,True,False,False,False,False,False,True,False,False,20250219_3FLfun1,True,True,False
295,False,True,False,True,False,False,True,False,False,False,20250219_3FLfun1,True,True,True
296,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
297,False,False,False,False,False,True,False,False,False,False,20250219_3FLfun1,False,True,True
298,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
299,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
300,False,True,False,False,False,True,False,True,False,False,20250219_3FLfun1,True,True,True
301,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
302,True,True,False,False,False,False,True,True,False,False,20250219_3FLfun1,True,True,False
303,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
304,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
305,False,False,False,False,True,True,False,True,False,False,20250219_3FLfun1,False,True,True
306,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
307,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
308,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
309,False,True,False,False,False,False,False,False,False,False,20250219_3FLfun1,True,True,False
310,False,True,False,False,False,False,True,True,False,False,20250219_3FLfun1,True,True,False
311,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
312,True,True,False,False,False,False,False,True,False,True,20250219_3FLfun1,True,True,False
313,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
314,False,False,False,True,False,False,False,False,False,False,20250219_3FLfun1,True,False,True
315,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
316,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
317,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
318,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
319,False,False,False,True,False,False,False,False,False,False,20250219_3FLfun1,True,False,True
320,False,False,False,False,False,True,False,True,False,False,20250219_3FLfun1,False,True,True
321,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
322,True,True,False,False,False,False,True,True,False,False,20250219_3FLfun1,True,True,False
323,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
324,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
325,False,False,False,True,False,False,True,False,False,False,20250219_3FLfun1,True,False,True
326,True,True,False,False,False,False,True,True,False,False,20250219_3FLfun1,True,True,False
327,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
328,False,False,False,False,False,True,False,False,False,False,20250219_3FLfun1,False,True,True
329,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
330,False,False,False,True,False,False,True,False,False,False,20250219_3FLfun1,True,False,True
331,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
332,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
333,False,True,False,True,False,False,True,False,False,False,20250219_3FLfun1,True,True,True
334,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
335,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
336,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
