,2h(-7),2h(-7),ma(-7),ma(-7),2h(-7)+ma(-7),2h(-7)+ma(-7),2h(-5),2h(-5),1o3ol(-5),1o3ol(-5),2h(-5)+1o3ol(-5),2h(-5)+1o3ol(-5),ea(-5),ea(-5),eb(-5),eb(-5),ea(-5)+eb(-5),ea(-5)+eb(-5),PFO,PFO,air,air
23,0.103051424,-0.70397437,0.057914257,-0.052729577,-0.17484286,0.008257418,0.61313117,0.36250553,-0.00580132,0.0234375,0.030036807,0.049494505,0.07329404,-0.019738972,0.04274887,0.7450868,0.21922842,-0.15186015,0.14921004,-0.06595598,0.19309503,-0.07100907
24,0.197576,0.13270801,0.45556977,0.06573826,0.3606388,1.9522529,-0.106092885,0.2977226,-0.43329751,-0.16489804,-0.17196149,-0.062712,0.19720307,0.39075625,-0.09285545,0.08208096,-0.025457561,-0.5356102,0.5262614,0.08568537,0.15028092,1.570582
25,-0.0798043,-0.250939,-0.114522696,0.051889405,-0.17274207,-0.45460987,0.15371037,0.28162387,0.002929628,-0.54964566,0.35998908,0.13037243,-0.009483337,0.24067694,-0.0072434545,-0.43996853,0.088539004,-0.63366014,-0.17165053,0.32266802,0.18992668,-0.24615276
26,0.7602258,-0.059098616,-0.44311327,0.10044056,-0.33609056,-0.02246204,-0.024066806,-0.13696796,0.17383555,0.053718396,-0.056363523,0.38740575,1.6266739,1.1407455,0.17498127,-0.23069516,3.0314515,0.23742154,0.0749466,0.26980034,-0.032913387,-0.3342343
27,-0.053188115,-0.50141513,0.10434538,-0.10282138,-0.2483337,-0.06678037,-0.011102676,0.0734396,0.29878825,0.32283545,0.12137222,0.17124903,-0.007796347,-0.093536764,-0.062243283,0.35594654,0.2007407,-0.115340255,0.13282341,-0.06113392,0.03231293,0.073638126
28,-0.21376038,0.13028279,0.1232667,-0.005128324,-0.6221296,-0.46682855,0.4166311,0.56158495,0.3249503,-0.5862411,-0.27032924,-0.2800269,-0.025737315,-0.23566172,0.22015977,0.1630269,0.11451027,-0.030252874,-0.024509668,0.3763554,0.20350513,0.027926147
29,0.53634775,-0.5903052,0.26746523,-0.86642814,0.14909655,-0.5521536,0.040955782,0.6053076,0.19874215,-0.0005245209,-1.0648364,-0.2620386,0.11023176,0.039908677,-0.4078577,-0.010067999,-0.017368585,-0.44512594,0.10151836,-0.053455476,0.291681,0.91758734
30,0.034403265,-0.2042296,0.19367415,0.061611235,-0.0856148,0.07758753,-0.051213086,0.4666885,-0.17668295,0.13680482,-0.13986766,0.030018046,0.1183337,-0.08355394,0.0501256,0.27847898,0.109696925,0.108879894,-0.06359714,0.04969859,-0.05572754,0.18780658
31,0.016403913,-0.15299077,0.2353979,0.16428071,-1.096664,-0.26650172,-0.045888543,0.16740613,-0.18150094,-0.017355628,-0.16212508,-0.009036094,0.00646019,-0.34983033,-0.020776987,0.024381518,-0.37844348,0.032024078,-0.3366131,0.16887888,-0.013926148,0.9289975
32,0.053852737,0.07801059,-0.012059554,0.13284819,-0.17449784,0.0035424232,-0.072322994,-0.006898463,-0.5807973,-0.23135313,-0.08051634,-0.14432475,0.11518434,0.0010642409,-0.047480464,-0.19560778,0.5593928,0.19314298,0.029424489,0.06785184,-0.012470961,0.09139341
33,0.17669988,0.34858367,0.716172,0.6211564,-0.041944027,-0.6208121,-0.33336526,0.5554414,-0.207593,0.45076752,-0.5201276,-0.24554424,0.101872236,-0.1723913,0.02317895,0.014879823,-0.3815323,-0.09801823,0.26801056,0.97006977,-0.35781747,0.02762302
34,0.03259355,-0.9986634,0.012376219,-0.051896542,0.074866205,0.0056432188,0.07686427,0.31886384,0.029205471,1.2602627,0.0027084053,0.04704547,0.017068714,-0.046964422,0.07842356,-0.5439579,0.036212236,0.048315763,-0.0012765229,-0.03985104,0.0042854548,0.009922862
35,0.2689387,-0.24562216,-0.002156496,0.067934394,0.07054788,-0.08370939,0.32662523,0.20080629,-0.035440207,-0.2768607,-0.08425337,-0.19716056,0.106040776,0.08288916,-0.010387838,0.44337833,-0.027811885,-0.12325241,0.03954971,-0.056889534,0.039578676,-0.05345969
